createDate_date,dateScanned_date,finishedDate_date,modifyDate_date,pointsAwardedDate_date,purchaseDate_date
1609687531000,1609687531000,1609687531000.0,1609687536000,1609687531000.0,1609632000000.0
1609687483000,1609687483000,1609687483000.0,1609687488000,1609687483000.0,1609601083000.0
1609687483000,1609687483000,1609687483000.0,1609687488000,1609687483000.0,1609601083000.0
1609687537000,1609687537000,,1609687542000,,1609632000000.0
1609687534000,1609687534000,1609687534000.0,1609687539000,1609687534000.0,1609632000000.0
1609687506000,1609687506000,1609687511000.0,1609687511000,1609687506000.0,1609601106000.0
1609687506000,1609687506000,1609687511000.0,1609687511000,1609687506000.0,1609601106000.0
1609687524000,1609687524000,1609687525000.0,1609687530000,1609687525000.0,1609601124000.0
1609687501000,1609687501000,1609687502000.0,1609687502000,1609687502000.0,1609687501000.0
1609687460000,1609687460000,1609687461000.0,1609687461000,1609687461000.0,1609027200000.0
1609687533000,1609687533000,1609687534000.0,1609687538000,1609687534000.0,1609632000000.0
1609687531000,1609687531000,1609687531000.0,1609687536000,1609687531000.0,1609632000000.0
1609687493000,1609687493000,1609687493000.0,1609687493000,1609687493000.0,1609601093000.0
1609687457000,1609687457000,1609688360000.0,1609688360000,1609687459000.0,1609545600000.0
1609687478000,1609687478000,,1609687478000,,1612365878000.0
1609687478000,1609687478000,,1609687478000,,1612365878000.0
1609687478000,1609687478000,,1609687478000,,1612365878000.0
1609687478000,1609687478000,,1609687478000,,1612365878000.0
1609687478000,1609687478000,,1609687478000,,1612365878000.0
1609687478000,1609687478000,,1609687478000,,1612365878000.0
1609687478000,1609687478000,,1609687478000,,1612365878000.0
1609687478000,1609687478000,,1609687478000,,1612365878000.0
1609687478000,1609687478000,,1609687478000,,1612365878000.0
1609687478000,1609687478000,,1609687478000,,1612365878000.0
1604089079000,1604089079000,,1609687494000,1604089080000.0,1604002679000.0
1604089079000,1604089079000,,1609687494000,1604089080000.0,1604002679000.0
1604089079000,1604089079000,,1609687494000,1604089080000.0,1604002679000.0
1604089079000,1604089079000,,1609687494000,1604089080000.0,1604002679000.0
1604089079000,1604089079000,,1609687494000,1604089080000.0,1604002679000.0
1604089079000,1604089079000,,1609687494000,1604089080000.0,1604002679000.0
1604089079000,1604089079000,,1609687494000,1604089080000.0,1604002679000.0
1604089079000,1604089079000,,1609687494000,1604089080000.0,1604002679000.0
1604089079000,1604089079000,,1609687494000,1604089080000.0,1604002679000.0
1604089079000,1604089079000,,1609687494000,1604089080000.0,1604002679000.0
